id best_lik post_prob assigned
safoAQUs_020-21 Aquatuc 1 yes
safoAQUs_021-21 Aquatuc 1 yes
safoAQUs_022-21 Aquatuc 1 yes
safoAQUs_023-21 Aquatuc 1 yes
safoAQUs_024-21 Aquatuc 1 yes
safoAQUs_025-21 Aquatuc 1 yes
safoAQUs_026-21 Aquatuc 1 yes
safoAQUs_027-21 Aquatuc 1 yes
safoAQUs_028-21 Aquatuc 1 yes
safoAQUs_029-21 Aquatuc 1 yes
safoAQUs_030-21 Aquatuc 1 yes
safoAQUs_031-21 Aquatuc 1 yes
safoAQUs_032-21 Aquatuc 1 yes
safoAQUs_033-21 Aquatuc 1 yes
safoAQUs_034-21 Aquatuc 1 yes
safoAQUs_035-21 Aquatuc 1 yes
safoAQUs_036-21 Aquatuc 1 yes
safoAQUs_038-21 Aquatuc 0.9 yes
safoAQUs_039-21 Aquatuc 1 yes
safoAQUs_040-21 Aquatuc 1 yes
safoBEAs_01-21 Beaver 1 yes
safoBEAs_012-21 Beaver 1 yes
safoBEAs_013-21 Beaver 1 yes
safoBEAs_015-21 Beaver 1 yes
safoBEAs_017-21 Beaver 1 yes
safoBEAs_018-21 Beaver 1 yes
safoBEAs_019-21 Beaver 1 yes
safoBEAs_02-21 Beaver 1 yes
safoBEAs_020-21 Beaver 1 yes
safoBEAs_021-21 Beaver 1 yes
safoBEAs_025-21 Beaver 1 yes
safoBEAs_026-21 Beaver 1 yes
safoBEAs_027-21 Beaver 1 yes
safoBEAs_028-21 Beaver 1 yes
safoBEAs_029-21 Beaver 1 yes
safoBEAs_03-21 Beaver 1 yes
safoBEAs_030-21 Beaver 1 yes
safoBEAs_031-21 Beaver 1 yes
safoBEAs_032-21 Beaver 1 yes
safoBEAs_037-21 Beaver 1 yes
safoBEAs_039-21 Beaver 1 yes
safoBEAs_05-21 Beaver 1 yes
safoBEAs_06-21 Beaver 1 yes
safoBEAs_07-21 Beaver 1 yes
safoBEAs_08-21 Beaver 1 yes
safoBEAs_09-21 Beaver 1 yes
safoBIAs_2461-21 Biagadwshi 1 yes
safoBIAs_2463-21 Biagadwshi 1 yes
safoBIAs_2466-21 Biagadwshi 1 yes
safoBIAs_2469-21 Biagadwshi 1 yes
safoBIAs_2470-21 Biagadwshi 1 yes
safoBIAs_2471-21 Biagadwshi 1 yes
safoBIAs_2472-21 Biagadwshi 1 yes
safoBIAs_2473-21 Biagadwshi 1 yes
safoBIAs_2474-21 Biagadwshi 1 yes
safoBIAs_2475-21 Biagadwshi 1 yes
safoBIAs_2701-21 Biagadwshi 1 yes
safoBIAs_2702-21 Biagadwshi 1 yes
safoBIAs_2707-21 Biagadwshi 1 yes
safoBIAs_2708-21 Biagadwshi 1 yes
safoBIAs_2709-21 Biagadwshi 1 yes
safoBIAs_2710-21 Biagadwshi 1 yes
safoBIAs_2711-21 Biagadwshi 1 yes
safoBIAs_2712-21 Biagadwshi 1 yes
safoBIAs_2713-21 Biagadwshi 1 yes
safoBIAs_2714-21 Biagadwshi 1 yes
safoBIAs_2716-21 Biagadwshi 1 yes
safoBIAs_2717-21 Biagadwshi 1 yes
safoBIAs_2718-21 Biagadwshi 1 yes
safoBIAs_2721-21 Biagadwshi 1 yes
safoBIAs_2723-21 Biagadwshi 1 yes
safoBIAs_2725-21 Biagadwshi 1 yes
safoBROs_525-22 Broadback 1 yes
safoBROs_527-22 Broadback 1 yes
safoBROs_528-22 Broadback 1 yes
safoBROs_532-22 Eastmain 0.9 yes
safoBROs_533-22 Conn 1 yes
safoBROs_534-22 Conn 1 yes
safoBROs_535-22 Conn 0.8 yes
safoBROs_538-22 Renoyer 0.8 yes
safoBROs_539-22 Broadback 1 yes
safoBROs_540-22 Broadback 1 yes
safoCHIm_2676-21 Kaapsaoui 1 yes
safoCHIm_2677-21 Kaapsaoui 1 yes
safoCHIm_2678-21 Kaapsaoui 1 yes
safoCHIm_2679-21 Kaapsaoui 1 yes
safoCHIm_2681-21 Kaapsaoui 1 yes
safoCHIm_2683-21 Kaapsaoui 1 yes
safoCHIm_2684-21 Kaapsaoui 1 yes
safoCHIm_2686-21 Kaapsaoui 1 yes
safoCHIm_2687-21 Kaapsaoui 1 yes
safoCHIm_2689-21 Kaapsaoui 1 yes
safoCHIm_2690-21 Kaapsaoui 1 yes
safoCHIm_2691-21 Kaapsaoui 1 yes
safoCHIm_2692-21 Kaapsaoui 1 yes
safoCHIm_2693-21 Kaapsaoui 1 yes
safoCHIm_2698-21 Kaapsaoui 1 yes
safoCHIm_2761-21 Kaapsaoui 1 yes
safoCHIm_2762-21 Kaapsaoui 1 yes
safoCHIm_2763-21 Kaapsaoui 1 yes
safoCHIm_2764-21 Kaapsaoui 1 yes
safoCHIm_2766-21 Kaapsaoui 1 yes
safoCHIm_2769-21 Kaapsaoui 1 yes
safoCHIm_2772-21 Kaapsaoui 1 yes
safoCHIm_2774-21 Kaapsaoui 1 yes
safoCHIm_2775-21 Kaapsaoui 1 yes
safoCONs_590-21 Eastmain 0.9 yes
safoCONs_591-21 Conn 1 yes
safoCONs_592-21 Eastmain 1 yes
safoCONs_593-21 Conn 1 yes
safoCONs_594-21 Conn 0.7 no
safoEASs_579-21 Conn 1 yes
safoEASs_628-21 Eastmain 1 yes
safoEASs_661-21 Eastmain 1 yes
safoEASs_663-21 Conn 1 yes
safoEASs_674-21 Eastmain 1 yes
safoEASs_690-22 Eastmain 1 yes
safoEASs_691-22 Eastmain 1 yes
safoEASs_692-22 Eastmain 1 yes
safoEASs_695-22 Conn 1 yes
safoEASs_696-22 Eastmain 1 yes
safoEASs_697-22 Eastmain 1 yes
safoEASs_698-22 Conn 1 yes
safoEASs_699-22 Conn 1 yes
safoEASs_700-22 Conn 1 yes
safoEASs_701-22 Conn 1 yes
safoEASs_702-22 Eastmain 1 yes
safoEASs_703-22 Eastmain 1 yes
safoEASs_740-22 Eastmain 1 yes
safoEASs_741-22 Eastmain 1 yes
safoEASs_742-22 Eastmain 1 yes
safoEASs_743-22 Eastmain 1 yes
safoEASs_744-22 Eastmain 1 yes
safoEASs_745-22 Conn 1 yes
safoEASs_746-22 Conn 1 yes
safoEASs_747-22 Eastmain 0.9 yes
safoEASs_749-22 Eastmain 1 yes
safoEASs_750-22 Eastmain 1 yes
safoEASs_772-22 Eastmain 1 yes
safoEASs_773-22 Conn 1 yes
safoEASs_774-22 Conn 1 yes
safoEASs_775-22 Conn 1 yes
safoEASs_779-22 Conn 1 yes
safoEASs_780-22 Conn 1 yes
safoEASs_782-22 Conn 1 yes
safoEASs_783-22 Conn 1 yes
safoFISs_001-21 Eastmain 1 yes
safoFISs_002-21 Eastmain 0.8 yes
safoFISs_003-21 Conn 1 yes
safoFISs_004-21 Eastmain 0.9 yes
safoFISs_005-21 Conn 1 yes
safoFISs_030-22 Eastmain 1 yes
safoLAGs_001-20 La_Grande 1 yes
safoLAGs_003-20 La_Grande 1 yes
safoLAGs_004-20 La_Grande 1 yes
safoLAGs_005-20 La_Grande 1 yes
safoLAGs_006-20 La_Grande 1 yes
safoLAGs_007-20 La_Grande 1 yes
safoLAGs_008-20 Aquatuc 1 yes
safoLAGs_009-20 La_Grande 1 yes
safoLAGs_011-20 La_Grande 1 yes
safoLAGs_012-20 La_Grande 1 yes
safoLAGs_013-20 La_Grande 1 yes
safoLAGs_014-20 Aquatuc 1 yes
safoLAGs_015-20 La_Grande 1 yes
safoLAGs_016-20 La_Grande 1 yes
safoLAGs_017-20 La_Grande 1 yes
safoLAGs_018-20 La_Grande 1 yes
safoLAGs_019-20 La_Grande 1 yes
safoLAGs_2101-21 La_Grande 1 yes
safoLAGs_2102-21 La_Grande 1 yes
safoLAGs_2103-21 La_Grande 1 yes
safoLAGs_2104-21 La_Grande 1 yes
safoLAGs_2106-21 La_Grande 1 yes
safoLAGs_2107-21 La_Grande 1 yes
safoLAGs_2108-21 La_Grande 1 yes
safoLAGs_2109-21 La_Grande 1 yes
safoLAGs_2110-21 La_Grande 1 yes
safoLAGs_2111-21 La_Grande 0.6 no
safoLAGs_2112-21 La_Grande 1 yes
safoLAGs_2113-21 La_Grande 1 yes
safoLAGs_2856-22 Aquatuc 1 yes
safoLAGs_2857-22 Aquatuc 1 yes
safoLAGs_2859-22 Aquatuc 1 yes
safoLAGs_2865-22 Aquatuc 1 yes
safoMOAs_951-21 Sabacunica 1 yes
safoMOAs_952-21 Sabacunica 1 yes
safoMOAs_967-21 Sabacunica 1 yes
safoMOAs_981-21 Sabacunica 1 yes
safoMOAs_986-21 Sabacunica 1 yes
safoMOAs_992-21 Sabacunica 1 yes
safoMOAs_994-21 Renoyer 1 yes
safoRENs_001-20 Renoyer 1 yes
safoRENs_003-20 Renoyer 0.8 yes
safoRENs_005-20 Renoyer 1 yes
safoRENs_006-20 Renoyer 1 yes
safoRENs_007-20 Renoyer 1 yes
safoRENs_008-20 Renoyer 1 yes
