id best_lik post_prob assigned
coarBEAs_1951-21 Beaver 0.8 yes
coarBEAs_1952-21 Sabacunica 1 yes
coarBEAs_1956-21 Sabacunica 1 yes
coarBEAs_1959-21 Beaver 1 yes
coarBEAs_1963-21 Beaver 1 yes
coarBEAs_1964-21 Beaver 1 yes
coarBEAs_1966-21 Beaver 1 yes
coarBEAs_1972-21 Beaver 1 yes
coarBEAs_1973-21 Beaver 1 yes
coarBEAs_1974-21 Beaver 1 yes
coarBEAs_1975-21 Beaver 1 yes
coarBEAs_2032-21 Beaver 1 yes
coarBEAs_2033-21 Beaver 1 yes
coarBEAs_2034-21 Beaver 0.9 yes
coarBEAs_2036-21 Sabacunica 0.7 yes
coarBEAs_2037-21 Sabacunica 1 yes
coarBEAs_2039-21 Beaver 0.9 yes
coarBEAs_2042-21 Beaver 0.8 yes
coarBEAs_2043-21 Beaver 1 yes
coarLAGs_001-20 Roggan 1 yes
coarSABs_029-21 Sabacunica 1 yes
coarSABs_038-21 Sabacunica 1 yes
coclBEAs_2181-21 Sabacunica 1 yes
coclBEAs_2190-21 Beaver 0.9 yes
coclBEAs_2192-21 Beaver 1 yes
coclBEAs_2199-21 Sabacunica 1 yes
coclBEAs_2251-21 Sabacunica 1 yes
coclBEAs_2254-21 Sabacunica 1 yes
coclBEAs_2257-21 Sabacunica 1 yes
coclBEAs_2258-21 Beaver 1 yes
coclBEAs_2262-21 Beaver 0.8 yes
coclBEAs_2265-21 Beaver 0.9 yes
coclBEAs_2267-21 Sabacunica 1 yes
coclBEAs_2274-21 Sabacunica 1 yes
coclBIAs_2408-21 La_Grande 1 yes
coclBIAs_2410-21 La_Grande 1 yes
coclBIAs_2413-21 La_Grande 1 yes
coclBIAs_2415-21 La_Grande 1 yes
coclBIAs_2418-21 La_Grande 1 yes
coclBIAs_2421-21 La_Grande 1 yes
coclBIAs_2424-21 La_Grande 1 yes
coclBIAs_2425-21 La_Grande 1 yes
coclBIAs_2778-21 La_Grande 1 yes
coclBIAs_2782-21 La_Grande 1 yes
coclBIAs_2784-21 La_Grande 1 yes
coclBIAs_2786-21 La_Grande 1 yes
coclBIAs_2787-21 La_Grande 1 yes
coclBIAs_2788-21 La_Grande 1 yes
coclBIAs_2790-21 La_Grande 1 yes
coclBIAs_2791-21 La_Grande 1 yes
coclBIAs_2793-21 La_Grande 1 yes
coclBIAs_2795-21 La_Grande 1 yes
coclBIAs_2798-21 La_Grande 1 yes
coclBIAs_2799-21 La_Grande 1 yes
coclCHIm_2226-21 Kaapsaoui 1 yes
coclCHIm_2230-21 Kaapsaoui 1 yes
coclCHIm_2233-21 Kaapsaoui 1 yes
coclCHIm_2235-21 Kaapsaoui 1 yes
coclCHIm_2237-21 Kaapsaoui 1 yes
coclCHIm_2238-21 Kaapsaoui 1 yes
coclCHIm_2243-21 Kaapsaoui 1 yes
coclCHIm_2245-21 Kaapsaoui 1 yes
coclCHIm_2246-21 Kaapsaoui 1 yes
coclCHIm_2248-21 Kaapsaoui 1 yes
coclCHIm_2249-21 Kaapsaoui 1 yes
coclCHIm_2250-21 Kaapsaoui 1 yes
coclCHIm_2609-21 Kaapsaoui 1 yes
coclCHIm_2610-21 Kaapsaoui 1 yes
coclCHIm_2614-21 Kaapsaoui 1 yes
coclCHIm_2615-21 Kaapsaoui 1 yes
coclCHIm_2616-21 Kaapsaoui 1 yes
coclCHIm_2617-21 Kaapsaoui 1 yes
coclCHIm_2619-21 Kaapsaoui 1 yes
coclCHIm_2621-21 Kaapsaoui 1 yes
coclCHIm_2624-21 Kaapsaoui 1 yes
coclCHIm_2625-21 Kaapsaoui 1 yes
coclCONs_671-22 Eastmain 1 yes
coclCONs_673-24 Eastmain 1 yes
coclCONs_677-21 Eastmain 1 yes
coclCONs_678-21 Eastmain 1 yes
coclCONs_683-21 Eastmain 1 yes
coclEASm_001-20 Nottaway 1 yes
coclEASm_011-20 Eastmain 1 yes
coclEASm_016-20 Eastmain 1 yes
coclEASm_019-20 Rupert 1 yes
coclEASm_023-20 Rupert 1 yes
coclEASm_025-20 Rupert 1 yes
coclEASm_026-20 Eastmain 1 yes
coclEASs_736-22 Rupert 1 yes
coclEASs_777-22 Rupert 1 yes
coclFISs_018-21 Eastmain 1 yes
coclFISs_021-21 Rupert 1 yes
coclFISs_024-22 Eastmain 1 yes
coclFISs_029-21 Eastmain 1 yes
coclFISs_030-21 Eastmain 1 yes
coclFISs_039-21 Eastmain 1 yes
coclJACs_068-21 Eastmain 1 yes
coclJACs_074-21 Eastmain 1 yes
coclJACs_080-21 Eastmain 1 yes
coclJACs_081-21 Eastmain 1 yes
coclJACs_082-21 Rupert 1 yes
coclJACs_083-21 Eastmain 1 yes
coclJACs_085-21 Eastmain 1 yes
coclJACs_086-21 Eastmain 1 yes
coclJACs_087-21 Eastmain 1 yes
coclJACs_089-21 Eastmain 1 yes
coclJACs_090-21 Rupert 1 yes
coclJACs_091-21 Rupert 1 yes
coclJACs_094-21 Eastmain 1 yes
coclLAGs_029-20 Roggan 1 yes
coclLAGs_1883-21 Roggan 1 yes
coclLAGs_2301-22 Roggan 1 yes
coclLAGs_2302-22 Roggan 1 yes
coclLAGs_2304-22 Roggan 1 yes
coclLAGs_2305-22 Roggan 1 yes
coclLAGs_2306-22 Roggan 1 yes
coclLAGs_2307-22 Roggan 1 yes
coclLAGs_2308-22 Roggan 1 yes
coclLAGs_2309-22 Roggan 1 yes
coclLAGs_2576-21 La_Grande 1 yes
coclLAGs_2579-21 La_Grande 1 yes
coclLAGs_2835-22 Roggan 1 yes
coclLAGs_2838-22 Roggan 1 yes
coclLAGs_2840-22 Roggan 1 yes
coclLAGs_2841-22 Roggan 1 yes
coclLAGs_2843-22 Roggan 1 yes
coclLAGs_2845-22 Roggan 1 yes
coclLAGs_2846-22 Roggan 1 yes
coclLAGs_2850-22 Roggan 1 yes
coclLAGs_2872-22 Roggan 1 yes
coclLAGs_2873-22 Roggan 1 yes
coclNOTs_003-20 Roggan 1 yes
coclNOTs_7000-21 Rupert 1 yes
coclNOTs_7002-21 Nottaway 0.5 no
coclNOTs_7006-21 Nottaway 0.9 yes
coclNOTs_7008-21 Roggan 1 yes
coclNOTs_7009-21 Roggan 1 yes
coclNOTs_7012-21 Nottaway 1 yes
coclNOTs_7015-21 Nottaway 1 yes
coclNOTs_7018-21 Nottaway 1 yes
coclNOTs_7019-21 Roggan 1 yes
coclNOTs_7020-21 Nottaway 1 yes
coclNOTs_7021-21 Nottaway 1 yes
coclNOTs_7022-21 Nottaway 0.9 yes
coclNOTs_7023-21 La_Grande 0.4 no
coclNOTs_7024-21 Nottaway 1 yes
coclNOTs_7025-21 Nottaway 1 yes
coclNOTs_7026-21 Nottaway 1 yes
coclNOTs_7027-21 Nottaway 0.9 yes
coclNOTs_7031-21 Nottaway 0.9 yes
coclROGs_2154-21 Roggan 1 yes
coclRUPs_001-20 Rupert 1 yes
coclRUPs_004-20 Rupert 1 yes
coclRUPs_005-20 Rupert 1 yes
coclRUPs_006-20 Rupert 1 yes
coclRUPs_007-20 Rupert 1 yes
coclRUPs_008-20 Rupert 1 yes
coclRUPs_009-20 Rupert 1 yes
coclRUPs_013-20 Rupert 1 yes
coclRUPs_014-20 Rupert 1 yes
coclRUPs_020-20 Rupert 1 yes
coclRUPs_033-20 Rupert 1 yes
coclRUPs_034-20 Rupert 1 yes
coclRUPs_036-20 Nottaway 1 yes
coclRUPs_037-20 Nottaway 0.9 yes
coclRUPs_039-20 Rupert 1 yes
coclRUPs_040-20 Nottaway 0.9 yes
coclSABs_010-20 Sabacunica 1 yes
coclSABs_017-21 Sabacunica 1 yes
coclSABs_019-21 Sabacunica 1 yes
coclSABs_020-21 Sabacunica 1 yes
coclSABs_031-21 Sabacunica 1 yes
coclSABs_032-21 Sabacunica 1 yes
coclSABs_033-21 Sabacunica 1 yes
coclSABs_035-21 Sabacunica 1 yes
coclSABs_036-21 Sabacunica 0.9 yes
coclSABs_037-21 Sabacunica 1 yes
coclSABs_039-21 Sabacunica 1 yes
coclSABs_040-21 Sabacunica 1 yes
coclTILs_004-21 Eastmain 1 yes
coarBEAs_1953-21 Sabacunica 0.6 yes
coarBEAs_1955-21 Beaver 0.8 yes
