pop1,pop2,fst,species
KAA,ROG,0.034182,Coregonus_clupeaformis
KAA,LAG,0.043381,Coregonus_clupeaformis
KAA,BEA,0.064434,Coregonus_clupeaformis
KAA,SAB,0.077672,Coregonus_clupeaformis
KAA,EAS,0.099899,Coregonus_clupeaformis
KAA,RUP,0.100278,Coregonus_clupeaformis
KAA,NOT,0.127554,Coregonus_clupeaformis
ROG,LAG,0.030494,Coregonus_clupeaformis
ROG,BEA,0.053639,Coregonus_clupeaformis
ROG,SAB,0.06691,Coregonus_clupeaformis
ROG,EAS,0.088416,Coregonus_clupeaformis
ROG,RUP,0.06691,Coregonus_clupeaformis
ROG,NOT,0.1159,Coregonus_clupeaformis
LAG,BEA,0.026055,Coregonus_clupeaformis
LAG,SAB,0.034815,Coregonus_clupeaformis
LAG,EAS,0.050653,Coregonus_clupeaformis
LAG,RUP,0.051926,Coregonus_clupeaformis
LAG,NOT,0.077943,Coregonus_clupeaformis
BEA,SAB,0.014185,Coregonus_clupeaformis
BEA,EAS,0.030895,Coregonus_clupeaformis
BEA,RUP,0.032591,Coregonus_clupeaformis
BEA,NOT,0.057153,Coregonus_clupeaformis
SAB,EAS,0.024245,Coregonus_clupeaformis
SAB,RUP,0.02714,Coregonus_clupeaformis
SAB,NOT,0.051598,Coregonus_clupeaformis
EAS,RUP,0.025088,Coregonus_clupeaformis
EAS,NOT,0.047914,Coregonus_clupeaformis
RUP,NOT,0.023892,Coregonus_clupeaformis
KAA,BIA,0.043424,Salvelinus_fontinalis
KAA,LAG,0.043093,Salvelinus_fontinalis
KAA,AQU,0.042451,Salvelinus_fontinalis
KAA,BEA,0.094874,Salvelinus_fontinalis
KAA,SAB,0.061123,Salvelinus_fontinalis
KAA,REN,0.079034,Salvelinus_fontinalis
KAA,EAS,0.092512,Salvelinus_fontinalis
KAA,BRO,0.157208,Salvelinus_fontinalis
BIA,LAG,0.033288,Salvelinus_fontinalis
BIA,AQU,0.037144,Salvelinus_fontinalis
BIA,BEA,0.091694,Salvelinus_fontinalis
BIA,SAB,0.055197,Salvelinus_fontinalis
BIA,REN,0.070691,Salvelinus_fontinalis
BIA,EAS,0.084341,Salvelinus_fontinalis
BIA,BRO,0.151829,Salvelinus_fontinalis
LAG,AQU,0.027948,Salvelinus_fontinalis
LAG,BEA,0.076876,Salvelinus_fontinalis
LAG,SAB,0.043082,Salvelinus_fontinalis
LAG,REN,0.055325,Salvelinus_fontinalis
LAG,EAS,0.068701,Salvelinus_fontinalis
LAG,BRO,0.134637,Salvelinus_fontinalis
AQU,BEA,0.065665,Salvelinus_fontinalis
AQU,SAB,0.03288,Salvelinus_fontinalis
AQU,REN,0.051084,Salvelinus_fontinalis
AQU,EAS,0.065302,Salvelinus_fontinalis
AQU,BRO,0.133767,Salvelinus_fontinalis
BEA,SAB,0.064587,Salvelinus_fontinalis
BEA,REN,0.081916,Salvelinus_fontinalis
BEA,EAS,0.098326,Salvelinus_fontinalis
BEA,BRO,0.161827,Salvelinus_fontinalis
SAB,REN,0.039125,Salvelinus_fontinalis
SAB,EAS,0.054855,Salvelinus_fontinalis
SAB,BRO,0.126958,Salvelinus_fontinalis
REN,EAS,0.029102,Salvelinus_fontinalis
REN,BRO,0.113492,Salvelinus_fontinalis
EAS,BRO,0.122521,Salvelinus_fontinalis
