beta  ances 
0.321 0.249
0.322 0.256
0.323 0.252
0.321 0.255
0.321 0.256
0.320 0.255
0.320 0.255
0.319 0.252
0.320 0.253
0.319 0.254
0.320 0.252
0.320 0.253
0.320 0.253
0.322 0.253
0.323 0.254
0.324 0.254
0.325 0.255
0.325 0.254
0.325 0.253
0.324 0.253
0.324 0.253
0.324 0.253
0.324 0.254
0.324 0.253
0.323 0.253
0.323 0.252
0.323 0.252
0.323 0.253
0.323 0.253
0.324 0.254
0.324 0.254
0.324 0.254
0.324 0.253
0.324 0.253
0.324 0.253
0.323 0.253
0.323 0.253
0.323 0.253
0.323 0.253
0.323 0.252
0.324 0.252
0.324 0.252
0.324 0.252
0.324 0.252
0.324 0.252
0.323 0.251
0.323 0.251
0.323 0.251
0.323 0.252
