beta  ances 
0.207 0.278
0.215 0.273
0.215 0.276
0.213 0.278
0.216 0.275
0.216 0.270
0.216 0.267
0.216 0.266
0.218 0.268
0.217 0.268
0.217 0.266
0.216 0.264
0.218 0.264
0.217 0.264
0.217 0.264
0.217 0.264
0.216 0.263
0.216 0.264
0.216 0.265
0.215 0.266
0.215 0.265
0.215 0.265
0.216 0.265
0.216 0.265
0.216 0.265
0.216 0.266
0.217 0.266
0.217 0.266
0.218 0.266
0.218 0.266
0.218 0.266
0.218 0.266
0.218 0.266
0.218 0.266
0.218 0.266
0.218 0.266
0.218 0.266
0.218 0.266
0.218 0.265
0.218 0.265
0.218 0.265
0.218 0.265
0.219 0.265
0.218 0.265
0.218 0.265
0.218 0.265
0.219 0.265
0.219 0.265
0.219 0.265
