pop	pop_code	lat	long	species_sampled
Roggan	ROG	54.45	-79.578394	2
Kaapsaoui	KAA	54.32	-79.487045	2
Biagadwshi	BIA	54.008123 -79.112768		2
La_Grande	LAG	53.821906 -79.141861		3
Aquatuc	AQU	53.671480 -79.073167		1
Beaver	BEA	53.385666 -79.014775		2
Sabacunica	SAB	52.842839 -78.767950		3
Renoyer	REN	52.45 -78.542428		1
Conn	CON	52.352631 -78.526769	3
Eastmain	EAS	52.238498 -78.633791		3
Jack	JAC	52.027016 -78.721347	1
Rupert	RUP	51.474206 -78.809795		2
Broadback 	BRO	51.362055	-78.9089301		1
Nottaway	NOT	51.410256 -78.933672		2
