"INDIVIDUALS"	"STRATA"
"1"	"coclBEAs_2190-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"2"	"coclBEAs_2191-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"3"	"coclBEAs_2192-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"4"	"coclBEAs_2193-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"5"	"coclBEAs_2194-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"6"	"coclBEAs_2195-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"7"	"coclBEAs_2196-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"8"	"coclBEAs_2198-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"9"	"coclBEAs_2199-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"10"	"coclBEAs_2200-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"11"	"coclBEAs_2258-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"12"	"coclBEAs_2260-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"13"	"coclBEAs_2261-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"14"	"coclBEAs_2263-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"15"	"coclBEAs_2264-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"16"	"coclBEAs_2265-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"17"	"coclBEAs_2266-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"18"	"coclBEAs_2267-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"19"	"coclBEAs_2268-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"20"	"coclBEAs_2269-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"21"	"coclBEAs_2270-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"22"	"coclBEAs_2271-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"23"	"coclBEAs_2272-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"24"	"coclBEAs_2273-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"25"	"coclBEAs_2274-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"26"	"coclCHIm_2226-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"27"	"coclCHIm_2230-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"28"	"coclCHIm_2232-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"29"	"coclCHIm_2235-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"30"	"coclCHIm_2237-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"31"	"coclCHIm_2246-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"32"	"coclCHIm_2248-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"33"	"coclCHIm_2249-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"34"	"coclCHIm_2250-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"35"	"coclCHIm_2603-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"36"	"coclCHIm_2604-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"37"	"coclCHIm_2606-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"38"	"coclCHIm_2608-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"39"	"coclCHIm_2609-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"40"	"coclCHIm_2610-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"41"	"coclCHIm_2611-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"42"	"coclCHIm_2612-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"43"	"coclCHIm_2614-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"44"	"coclCHIm_2615-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"45"	"coclCHIm_2617-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"46"	"coclCHIm_2620-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"47"	"coclCHIm_2621-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"48"	"coclCHIm_2622-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"49"	"coclCHIm_2624-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"50"	"coclCHIm_2625-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"51"	"coclFISs_003-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"52"	"coclFISs_006-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"53"	"coclFISs_009-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"54"	"coclFISs_012-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"55"	"coclFISs_014-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"56"	"coclFISs_015-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"57"	"coclFISs_016-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"58"	"coclFISs_017-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"59"	"coclFISs_018-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"60"	"coclFISs_019-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"61"	"coclFISs_020-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"62"	"coclFISs_021-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"63"	"coclFISs_023-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"64"	"coclFISs_024-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"65"	"coclFISs_025-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"66"	"coclFISs_026-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"67"	"coclFISs_027-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"68"	"coclFISs_028-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"69"	"coclFISs_029-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"70"	"coclFISs_030-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"71"	"coclFISs_031-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"72"	"coclFISs_033-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
