pop1,pop2,fst
KAA,BIA,0.043424
KAA,LAG,0.043093
KAA,AQU,0.042451
KAA,BEA,0.094874
KAA,SAB,0.061123
KAA,REN,0.079034
KAA,EAS,0.092512
KAA,BRO,0.157208
BIA,LAG,0.033288
BIA,AQU,0.037144
BIA,BEA,0.091694
BIA,SAB,0.055197
BIA,REN,0.070691
BIA,EAS,0.084341
BIA,BRO,0.151829
LAG,AQU,0.027948
LAG,BEA,0.076876
LAG,SAB,0.043082
LAG,REN,0.055325
LAG,EAS,0.068701
LAG,BRO,0.134637
AQU,BEA,0.065665
AQU,SAB,0.03288
AQU,REN,0.051084
AQU,EAS,0.065302
AQU,BRO,0.133767
BEA,SAB,0.064587
BEA,REN,0.081916
BEA,EAS,0.098326
BEA,BRO,0.161827
SAB,REN,0.039125
SAB,EAS,0.054855
SAB,BRO,0.126958
REN,EAS,0.029102
REN,BRO,0.113492
EAS,BRO,0.122521
