pop1,pop2,fst
KAA,ROG,0.034182
KAA,LAG,0.043381
KAA,BEA,0.064434
KAA,SAB,0.077672
KAA,EAS,0.099899
KAA,RUP,0.100278
KAA,NOT,0.127554
ROG,LAG,0.030494
ROG,BEA,0.053639
ROG,SAB,0.06691
ROG,EAS,0.088416
ROG,RUP,0.06691
ROG,NOT,0.1159
LAG,BEA,0.026055
LAG,SAB,0.034815
LAG,EAS,0.050653
LAG,RUP,0.051926
LAG,NOT,0.077943
BEA,SAB,0.014185
BEA,EAS,0.030895
BEA,RUP,0.032591
BEA,NOT,0.057153
SAB,EAS,0.024245
SAB,RUP,0.02714
SAB,NOT,0.051598
EAS,RUP,0.025088
EAS,NOT,0.047914
RUP,NOT,0.023892
