pop	pop_code	lat	long
La_Grande	LAG	53.821906 -79.078018
Fishing	FIS	52.2561	-78.443023
Tilorier	TIL	52.4677	-78.518049
Jack	JAC	51.9909	-78.662941
Rupert	RUP	51.481728 -78.832198
Roggan	ROG	54.406767	-79.507696
Beaver	BEA	53.385666 -79.014775
Biagadwshi	BIA	54.030970 -79.043178
Conn	CON	52.35996	-78.519324
MoarBay	MOA	52.9261	-78.701491
Sabacunica	SAB	52.842839 -78.767950
Nottaway	NOT	51.391320 -78.938977
Kaapsaoui	KAA	54.535974 -79.551461
Eastmain	EAS	52.242126 -78.575722
Aquatuc	AQU	53.671037 -79.025376
Renoyer	REN	52.4538	-78.514358
